id,name,latitude,longitude,country_id
19,Kabul,34.53,69.17,1
47,Cancun,21.16,-86.85,112
49,Chiba,35.6,140.1,86
110,Aosta,45.74,7.32,84
143,Cambridge,43.4,-80.31,188
144,Coventry,52.41,-1.51,188
182,Gorna Oryahovitsa,43.12,25.69,26
185,Gloucestershire,51.76,-2.19,188
188,Galway,53.27,-9.04,82
221,Lands End,50.07,-5.71,188
223,Lydd,50.95,0.91,188
238,Le Touquet,43.87,0.3,61
298,Parnu,58.38,24.5,56
313,Shoreham,50.83,-0.27,188
322,Siauliai,55.93,23.32,101
328,Sion,46.23,7.37,171
344,Trollhattan,58.28,12.29,170
355,Ventspils,57.39,21.56,95
361,Weeze,51.63,6.2,65
377,Kiev,50.45,30.52,186
378,Kherson,46.63,32.6,186
379,Chernivtsi,48.29,25.93,186
380,Odesa,46.48,30.73,186
381,Zaporizhia,47.85,35.12,186
382,Vinnytsia,49.24,28.47,186
383,Lviv,49.84,24.03,186
384,Dnipro,48.45,34.98,186
385,Kharkiv,50.0,36.23,186
386,Ivano-Frankivsk,48.92,24.71,186
540,Gagra,43.28,40.27,64
541,New Athos,43.09,40.81,64
542,Sukhumi,43.0,41.0,64
545,Donetsk,48.0,37.78,186
729,Newark,40.72,-74.17,189
733,Jersey City,40.72,-74.07,189